,Index,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime
0,1672579,A1C1P1N0MWX171,B00FPPQYXM,Rosemary Baker,"[2, 2]",Don't get me wrong I love Doc Martin but season 6 is a little worn. The marriage is painful to watch. Martin's relationship with his child isn't funny- it's sad. His relationship with Louisa is likewise painful.,4.0,One season too many?,1392422400,"02 15, 2014"
1,1672728,A3MDA891A1EPT8,B00FQY4C86,"Chris Winchester ""mikeystoyz""","[0, 0]","Not as strong as year one, I think a little better then year two.  This is the story of young witches and how they handle being witches.  There is death, life, death again, old witches, bad witches and Stevie Nicks.  You cant go wrong!!",4.0,"I like witches, you like witches, we all like witches",1401321600,"05 29, 2014"
2,1672880,A34I9PE5NB0WKP,B00FQY4C86,Ronald L. Mallett,"[0, 1]",chilling and fun,4.0,frightfully good,1404259200,"07 2, 2014"
3,1673113,A30B6A2MKBSF5J,B00FRILRL6,"Michael E. Jackson ""MEJ""","[0, 1]",I thought this was a lot of fun and a real surprise when I saw it in the theater - not a typical crime family but one that works well together under threat of violence.,4.0,Not a family movie,1390694400,"01 26, 2014"
4,1673209,ABQUJ3Z6EP5GN,B00FRILRRK,John's Horror Corner,"[3, 3]","Ninja (2009) was VERY entertaining but VERY flawed. This sequel strongly sets right and continues the franchise with crisper and more brutal fights, a better story and none of the nonsense--clearly opening the door to a most welcome third installment.Director Isaac Florentine (Undisputed II & III, Ninja) understandably likes working with (Scott Adkins; El Gringo, Universal Soldier: Day of Reckoning, The Expendables 2, Assassination Games).  I get it.  Adkins is amazing and if I were directing martial arts movies he'd be my top pick, too&#8230;EVERY TIME!But Adkins' performances are easily limited by Florentine's vision that day.  Undisputed II (2006) featured some of the best fight choreography you can find and it was filmed with appropriate angles and for long enough time between cuts for viewers to really appreciate the techniques being executed and their difficulty.  It also had a simple, enjoyable (even if recycled) story.  Whereas Undisputed III (2010) suffered a drop in that quality in terms of both story and spin kicks for reasons I can't explain, and Ninja (2009)--however cool the movie was without the fights--failed to impress me with the martial arts&#8230;and I'm pretty sure that was the one thing (if only one thing) that should have wowed me.In this sequel Casey Bowman leaves runs to the store when his fianc&eacute;e has midnight cravings for chocolate and seaweed--we can assume she has the Japanese preggers munchies.  This all sounds very sweet, but you can't have a good ninja movie without a solid motive for revenge, can you?  So when he returns home to find her dead, no one is surprised.The opening combat sequence struck me as technically sound with crisp, impressive combinations.  However, Adkins' fight scenes seem largely limited by the skill of his stunt man opponents who (in a few scenes) can't nearly keep up, appearing to fight rigidly (i.e., being less comfortable with the choreography) compared to Adkins' deftly smooth counterstrikes so trained fighters and fight stunt snobs will pick at the weaker fight's flaws like piranhas  on a floating carcass.  This minor flaw was most apparent in a scene reminiscent of Jet Li's opening scene in Fist of Legend (1994), when Scott takes on a dojo of opponents.  But fear not.  This flaw was a one-fight fluke and the other fights remain enjoyably awesome.  Adkins fans will rejoice when seeing him deliver some of his trademark 540 check kicks, beautiful transitions when performing jump spin kick and sweep combinations, and stunning corkscrew flairs that would make Ray Parks' own Darth Maul green with envy.  You'll even notice moves and stunts that will smack of Jackie Chan, but with none of Chan's humor and all Adkins' elegant brutality.  And watch out for the &#34;hotel room&#34; fight scene.  I haven't seen such a brilliantly unique gun-disarm/counterstrike since Equilibrium (2002) and The Raid: Redemption (2011).The fights all find fury and brutality.  Spin kicks often serve as little more than &#34;filler&#34; in martial arts movies.  But when Scott Adkins throws spin kicks his body weight whips like a Devil-possessed trebuchet to our rejoice.Casey is unfocused and angry in this sequel, clearly preoccupied with revenge.  When he travels to Thailand to escape his grief, he is followed by the vengeance of an old enemy of his dojo; the same enemy that killed his fianc&eacute;e.  Casey travels to Myanmar to find Goro (Shun Sugata; Kill Bill Vol. 1 & 2, Ichi the Killer, The Last Samurai), a Burmese drug lord and the man who wronged him.Tim Man (Kill'em All, Raging Phoenix) plays Goro's right hand man and give us a fantastic, long, vicious fight scene with Adkins.  The much shorter (yet sufficient) fight between Adkins' Casey and the aging but deadly Goro was also satisfying with a dash of unique flavor.The movie most clearly ends with a bitter end-- opening the door to a third installment in which Casey Bowman may finally find peace--and some fantastic swordplay.",4.0,"This sequel strongly sets right and continues the franchise with crisper & more brutal fights, a better story and less nonsense",1388966400,"01 6, 2014"
5,1673710,A1X4XRGKV4OWAL,B00FXWAZW8,Sweeti2056,"[1, 1]","Good movie to watch if you struggle with addiction, or you know someone who struggles, or heck if you just want to learn more about it. Not good for those who think those with illnesses such as these aren't cool.",4.0,Sympathetic and heartfelt,1396656000,"04 5, 2014"
6,1674018,AJ4UX9T8ZTJ8B,B00FZ4KR4U,Peter,"[0, 0]",Worth watching....  no car chases!,4.0,Four Stars,1404259200,"07 2, 2014"
7,1674083,A2QS3WEVJZSK5W,B00FZ4KR4U,"Wendy B. Smith ""linguist in California""","[0, 0]","Good story, good acting--an adult relationship story. Not great, but entertaining and instructive. Really miss James Gandolfini. Great actor and performance.",4.0,Good movie for adults,1401840000,"06 4, 2014"
8,1675688,A1TWUKLBAUD5KS,B00G15MDI0,"Carol B. Johnson ""Sasha's mama""","[0, 0]","This could be just another war movie, but it's written from the perspective of &#34;Death.&#34; He follows The Book Thief from the day of her brother's death. This is also the day of her first book theft. The characters are very well developed and seen both from the perspective of the Book Thief, whose life is interwoven with all of them, and Death, who will one day meet all of them, There are also books within the book, since the Book Thief steals more books and reads them, and eventually writes one of her own. Even though the movie doesn't follow the book exactly, it made the book easier to read.",4.0,Well done movie,1395705600,"03 25, 2014"
9,1675730,A29JNAD0IA18J4,B00G15MDI0,DANNY PARNELL,"[0, 0]",It takes place in Germany during War 2. One of those movies that they are hiding the Jewish people from Germans.,4.0,Good Movie,1400889600,"05 24, 2014"
