,Index,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime
0,1672732,A2Z49SYK28OQL8,B00FQY4C86,conspirewriter,"[1, 3]","Starts off interesting, but the strengths in the cast and SFX cannot save this terrible season.  Each episode escalates the viewer's agony.  More so if you enjoyed the first two seasons which were very strong!",1.0,don't waste your time.,1390867200,"01 28, 2014"
1,1673572,A26HFJX6VPXG7G,B00FWSWR92,Rahab  Schlesinger,"[0, 0]","Wow! Not in a good way. Good night, this movie is bad, REALLY BAD! The &#34;bad girl&#34; in the movie is not believable, the bad guys are even worse. There's no chemistry between the two leading actors, the parents are good, but the rest is, well...bad! Lol! Please do not waste your money...just my thoughts =)",1.0,Wow!,1401840000,"06 4, 2014"
2,1673704,A296X6FXKCMV1G,B00FXWAZW8,"Robert Jacob ""book-scout""","[1, 1]","The box describes this as laugh out load funny. As a romantic comedy. Other than a few laughs, it's not funny. It's actually kind of depressing!",1.0,Not a romantic comedy!,1397174400,"04 11, 2014"
3,1674019,A2NSI7ZVBJZ32D,B00FZ4KR4U,"Peter Miller ""Peter""","[2, 7]","Save your money, this movie is so bad, I can't believe they got the financing tomake it. Really wasted the talents of some great, skilled actors and actresses.On a positive note, it's the first time I tried streaming a Amazon movie via mynew Samsung tv, and the service works perfectly. Very easy to use.",1.0,"Wow, horrible movie",1390435200,"01 23, 2014"
4,1674912,A2TS69HD3UWXAA,B00FZM8Z7I,Latoya,"[0, 11]","Movie was great, but I have bad luck when it comes to redeeming free digital copies.It never works and I get changed.",1.0,redeeming sucks,1395360000,"03 21, 2014"
5,1675611,A2699XUDZ8RFNL,B00FZURN3C,Some dude...,"[0, 1]","This movie is absolutely HORRIBLE!I love it!As long as you don't go into it with any expectation of quality storytelling; you could really enjoy the campy, &#34;late night TV&#34;, low budget chhezefest. Great for parties involving copious amounts of alcohol.",1.0,Laugh out loud entertaining...,1396828800,"04 7, 2014"
6,1676146,A1O39BAPQ6DVW9,B00G2P79BU,Ashli Yaklin,"[0, 1]","I thought this was suppose to be a funny movie from what my son said, but it is too stupid to even laugh at. The best part is the kid!",1.0,Was not that great of a movie....kind of stupid!,1393372800,"02 26, 2014"
7,1676324,A3TYYNTSOMU854,B00G2P79BU,PCITGUYS,"[0, 0]",this was a waste of money thought I would get some good laughs out of it I think I laughed twice.,1.0,really is stupid,1392940800,"02 21, 2014"
8,1676844,A3V5OQ8Q6MV574,B00G4Q3KOC,KAY C SMITH,"[6, 27]",I cannot believe this movie won anything much less best picture of the year......Something is awfully wrong here........The acting was just ok....There was nothing special about it whatsoever......Cannot understand all the hoopla....Save your money!!  Certainly wish I had mine back.....,1.0,LOWER THAN ONE STAR....,1394064000,"03 6, 2014"
9,1677696,A3MEA4IFWQQ1IX,B00GB0OUDG,Barry,"[0, 0]","Terrible movie. Giving it 1 star is generous. Bad acting, choppy, poor graphics & little action. The picture on the box looks great.",1.0,Time Warrior,1398902400,"05 1, 2014"
