,Index,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime
0,1672789,A3GVSN6ILQTT6G,B00FQY4C86,Jon BP,"[4, 10]","The first few minutes were pretty good.  I don't think I'm going to care for this season.  The last two were brilliant, hopefully it turns around.",2.0,Ehhh...,1381708800,"10 14, 2013"
1,1673738,A3JWR2O1MZ7VNE,B00FYV7W9W,Elizabeth Renee Blue,"[2, 5]","I should've known. I kinda did but figured maybe I'd be surprised. Nope. This is just cheesy. No thrills, no tension, definitely no scares, the only thing that kept me watching was the desire to solve the puzzle. What was going on? Well, once it all became crystal clear the only satisfaction to be gained was from having the puzzle solved. Not how the puzzle was solved. The ending was so over the top corny I laughed out loud. Blech.",2.0,A Horror Junkie's review: PG 13 horror by another name,1392076800,"02 11, 2014"
2,1673780,A3B1AWV4Z1NMKR,B00FYV7WAQ,jennifer Osborne,"[1, 2]",This movie was not good. And I really like justin long. But the story was recycled and the love interest was played out and stale. I couldn't even get through the whole movie. Big disappointment. The best part was Peter Dinklage.,2.0,Wait til it's on lifetime- not worth the$,1393200000,"02 24, 2014"
3,1673879,A26MO4WIGB669B,B00FZ4KR4U,eileen Scully,"[1, 2]","I knew I'd like this movie before I saw it just because I love J.L.D. and I though pairing her up with James seemed interesting.  I was not disappointed!  Funny, endearing and relate-able.  Charming movie with charming actors/actresses.",2.0,great movie,1390953600,"01 29, 2014"
4,1674487,A3JW4EGL62O9IA,B00FZM8Z7I,d,"[0, 1]",The movie plays like an over crowded outline never developing any of the characters.  Very weak entertainment value as well.,2.0,Disappointed,1395964800,"03 28, 2014"
5,1674594,A3RY7SSE388CS8,B00FZM8Z7I,Georgie,"[0, 1]","Let's face it, without the snowman this movie would've been like getting a root canal, but the kids love it so thanks Snowman for making it to where I haven't died from watching this movie so many times",2.0,This movie sure is over rated but the kids sure love it,1400544000,"05 20, 2014"
6,1675892,A3QTEWVE0LLHLW,B00G15MDI0,Linda Tingley,"[0, 0]",This was an outstanding movie.  It was very good at getting your emotions worked up.  The end was a surprise and I assume they got together.  Very good,2.0,It was very good at getting your emotions worked up,1405296000,"07 14, 2014"
7,1676288,A2WLRCTDND19TR,B00G2P79BU,Mary D,"[0, 0]",It was funny. Not cinematic excellence but kinda funny. I think not having the other idiots in it worked out well. Johnny Knoxville is much better without them.,2.0,It was ok,1392595200,"02 17, 2014"
8,1677352,A1LI04ITXE6OID,B00G7QPXAI,Jessi,"[0, 0]",The book is so good. And this movie did not express how incredibly great the book is. Just go and get the book and enjoyed a great story.,2.0,Read the book,1397779200,"04 18, 2014"
9,1677595,A1YEIV2FDV6YOJ,B00GAXASKS,Fernando,"[0, 2]",Very interesting with good acting and the usual twists and turns of any Christie work. Most enjoyable and recommended. Thank you.,2.0,"Good, interesting collectin.",1396483200,"04 3, 2014"
10,1678774,A364UVS5CP9LRY,B00GM4OUZE,Magnus Brix,"[1, 3]","Unreflective of inspiration that animated seasons one and two, which soared with stellar creativity, originality, and excellence in acting. I adored them and was saddened that season three fell so flat.",2.0,Jumped the Shark,1390176000,"01 20, 2014"
11,1678851,A1WDQ4J8I0RGQZ,B00GM7STPI,Mark Ray,"[0, 0]",okay,2.0,Two Stars,1405209600,"07 13, 2014"
12,1679066,A25XBQ6HTOCNFM,B00GMV8IGO,S. Wallace,"[3, 5]",Save your money,2.0,Nope,1399507200,"05 8, 2014"
13,1679651,AMKX0MD1DUOPG,B00GMV8LIO,"Reader ""MB,MD""","[0, 0]","Beautiful actors, great but yet silly costumes. But most of all boooooring. Nothing happened. My two grown kids, my wife, some other friends all thought it was such a waste of cool people and great actors. I must say the trailer was pretty awesome, though, with that Led Zeppelin song playing. It felt like Goodfellas meets Pulp Fiction but without a single one of the parts that made those other two movies amazing. It didn't win a single Academy Award which proves my point.",2.0,Boring,1402444800,"06 11, 2014"
14,1679717,ABAEPL0A2XT8V,B00GMV8LIO,Skeezix,"[0, 0]","Great acting, but not much of a story.  Pretty silly stuff.  Not sure why this was nominated for so many awards except for Jennifer Lawrence, who was excellent as always.",2.0,Not Sure What All the Fuss Was About,1398816000,"04 30, 2014"
15,1682802,A1H4S27PGNK45Z,B00GYVPHHU,SANDRA L RIEL,"[0, 0]","The narrative (story line) spans about 15 minutes of screen time.  It is mysterious but anticlimactic.Do not be fooled by the synopses; it's pretty much JUST the band playing live... if you're into it, great!",2.0,It's just a concert,1395532800,"03 23, 2014"
16,1683153,A1S9R9MMIZC7WP,B00H1RMOI6,"JACKIE ""eiggorf""","[0, 1]","Typical Stallone movie with very corny lines.  Great concept, but did not hold my attention.  Pretty good twist, but by then I was a little bored.",2.0,Corny and a little boring,1396224000,"03 31, 2014"
17,1683400,A2N612S1IMBF0X,B00H1RMOI6,"ZDog ""ARF""","[1, 1]",Don't waste your time with this.,2.0,Two Stars,1404086400,"06 30, 2014"
18,1683925,A31UD28BQIWL31,B00H7BJ15U,tomtbird,"[0, 0]","Being a Jeff Dunham fan and loving Achmed, it was a really big let down watching this. I did watch the whole thing but the best part was the credits.",2.0,Don't,1400112000,"05 15, 2014"
19,1684314,A365G7VCHUIDHH,B00H7KJTCG,"Walter J. Boyne ""Walt Boyne""","[0, 1]","slow moving and not at all up to Thurber's humor. Stiller less objectionable than usual. Needed better editing, more humor.",2.0,Thurber was better,1398729600,"04 29, 2014"
20,1684647,A2QUCC2WX5H2ZC,B00H7LINKE,"Pearl Buck ""LDFultz""","[0, 0]",I was really hoping with all the top actors and actresses in this movie rhe sceens that it would have been a great movie. At least entertaining. Nope!,2.0,Bored,1402876800,"06 16, 2014"
21,1685037,A2MIVNVIVR745U,B00H83EUL2,"Dave Z ""Dave Z""","[0, 4]",I am glad I didn't pay full price to see this movie.  The story line was too unbelievable it made me laugh more than anything. The special effects were good!!,2.0,It was OK.,1395014400,"03 17, 2014"
22,1685491,AGAWDSE1J20RI,B00H83EUL2,Katherine,"[0, 0]","Talented people, great special effects, but I didn't think it added up to much in the end.",2.0,great special effects,1405468800,"07 16, 2014"
